year,projected_renewables_consumption
2023,19874.773153846152
2024,20689.34296703292
2025,21503.912780219922
2026,22318.48259340669
2027,23133.05240659346
2028,23947.622219780227
2029,24762.192032966996
2030,25576.761846153997
2031,26391.331659340765
2032,27205.901472527534
2033,28020.471285714302
2034,28835.04109890107
2035,29649.61091208784
2036,30464.18072527484
2037,31278.75053846161
2038,32093.320351648377
2039,32907.890164835146
2040,33722.459978021914
2041,34537.029791208915
2042,35351.599604395684
2043,36166.16941758245
2044,36980.73923076922
2045,37795.30904395599
2046,38609.87885714299
2047,39424.44867032976
2048,40239.01848351653
2049,41053.588296703296
2050,41868.158109890064
2051,42682.727923077065
2052,43497.297736263834
2053,44311.8675494506
2054,45126.43736263737
2055,45941.00717582414
2056,46755.57698901114
2057,47570.14680219791
2058,48384.71661538468
2059,49199.286428571446
2060,50013.856241758214
2061,50828.426054945216
2062,51642.995868131984
2063,52457.56568131875
2064,53272.13549450552
2065,54086.70530769229
2066,54901.27512087906
2067,55715.84493406606
2068,56530.41474725283
2069,57344.984560439596
2070,58159.554373626364
2071,58974.12418681313
2072,59788.694000000134
